506058.181781, 4545464.573903, 80.468900, 41.060400, -68.927900
507904.737362, 4547309.114833, 74.328900, 41.077000, -68.905900
506056.658333, 4547307.353617, 78.720000, 41.077000, -68.927900
509758.746024, 4549165.240002, 72.498400, 41.093700, -68.883800
507911.134644, 4549163.010218, 78.928300, 41.093700, -68.905800
506055.125193, 4549161.239788, 83.579800, 41.093700, -68.927900
511611.831637, 4551010.740349, 75.726300, 41.110300, -68.861700
509756.274302, 4551019.131886, 77.902300, 41.110400, -68.883800
507909.130891, 4551016.901922, 84.363500, 41.110400, -68.905800
506053.591535, 4551015.131349, 88.485200, 41.110400, -68.927900
513463.961346, 4552867.818286, 75.375800, 41.127000, -68.839600
511608.888832, 4552864.637808, 78.962000, 41.127000, -68.861700
509762.195726, 4552873.040362, 86.147500, 41.127100, -68.883700
507907.126463, 4552870.799016, 86.164400, 41.127100, -68.905800
506052.057361, 4552869.028301, 90.898900, 41.127100, -68.927900
515315.172774, 4554714.271557, 77.106800, 41.143600, -68.817500
513460.547136, 4554721.721389, 79.513200, 41.143700, -68.839600
511614.336901, 4554718.553989, 82.296200, 41.143700, -68.861600
509759.735036, 4554715.841796, 88.857400, 41.143700, -68.883700
507905.121360, 4554724.701501, 93.368500, 41.143800, -68.905800
506058.914519, 4554722.937597, 94.012500, 41.143800, -68.927800
515319.676600, 4556568.197901, 80.535100, 41.160300, -68.817400
513465.521513, 4556575.645343, 83.634100, 41.160400, -68.839500
511611.389985, 4556572.462228, 87.191700, 41.160400, -68.861600
509757.258691, 4556569.749819, 92.282900, 41.160400, -68.883700
507911.517327, 4556567.517200, 96.464300, 41.160400, -68.905700
506057.377183, 4556576.845332, 97.766600, 41.160500, -68.927800
517169.451434, 4558426.236899, 82.503700, 41.177000, -68.795300
515315.787238, 4558422.112040, 84.273200, 41.177000, -68.817400
513462.123350, 4558418.457928, 85.196300, 41.177000, -68.839500
511608.442078, 4558426.375856, 90.049500, 41.177100, -68.861600
509763.169118, 4558423.674447, 92.920400, 41.177100, -68.883600
507909.508749, 4558421.430436, 97.013400, 41.177100, -68.905700
506055.848539, 4558419.657168, 100.402000, 41.177100, -68.927800
517165.089873, 4560280.156753, 79.131600, 41.193700, -68.795300
515311.896568, 4560276.031568, 85.817600, 41.193700, -68.817400
513467.089058, 4560272.392642, 87.477800, 41.193700, -68.839400
511613.878654, 4560280.308221, 91.040300, 41.193800, -68.861500
509760.688977, 4560277.593252, 94.008200, 41.193800, -68.883600
507907.499495, 4560275.349064, 97.866300, 41.193800, -68.905700
506054.310171, 4560273.575656, 100.574000, 41.193800, -68.927800
504201.120969, 4560272.273026, 101.436000, 41.193800, -68.949900
519021.861772, 4562127.598826, 70.838400, 41.210300, -68.773100
517169.136350, 4562123.000366, 80.250200, 41.210300, -68.795200
515316.387950, 4562129.974091, 85.166200, 41.210400, -68.817300
513463.665997, 4562126.317271, 90.542400, 41.210400, -68.839400
511610.944313, 4562123.131272, 94.421600, 41.210400, -68.861500
509758.208002, 4562131.517449, 96.900500, 41.210500, -68.883600
507905.489566, 4562129.273085, 99.110600, 41.210500, -68.905700
506052.771287, 4562127.499537, 101.560000, 41.210500, -68.927800
504200.053129, 4562126.196805, 99.619900, 41.210500, -68.949900
519017.023950, 4563981.529784, 71.760400, 41.227000, -68.773100
517164.769737, 4563976.930963, 83.124100, 41.227000, -68.795200
515312.492534, 4563983.904397, 87.461900, 41.227100, -68.817300
513460.241787, 4563980.247291, 94.504400, 41.227100, -68.839400
511607.991308, 4563977.061042, 96.294900, 41.227100, -68.861500
509755.741059, 4563974.345648, 98.802000, 41.227100, -68.883600
507903.478962, 4563983.202498, 100.173000, 41.227200, -68.905700
506059.613094, 4563981.435776, 105.330000, 41.227200, -68.927700
504207.366137, 4563980.130812, 104.228000, 41.227200, -68.949800
519020.563614, 4565835.488009, 74.450500, 41.243700, -68.773000
517168.780764, 4565830.886699, 86.088000, 41.243700, -68.795100
515316.998254, 4565826.756284, 91.967700, 41.243700, -68.817200
513465.195520, 4565834.198190, 96.825600, 41.243800, -68.839300
511613.416402, 4565831.009561, 99.042900, 41.243800, -68.861400
509761.637513, 4565828.291825, 102.980000, 41.243800, -68.883500
507909.846759, 4565837.146401, 102.426000, 41.243900, -68.905600
506058.071043, 4565835.370445, 107.816000, 41.243900, -68.927700
504206.295447, 4565834.065379, 111.439000, 41.243900, -68.949800
520875.440932, 4567683.424900, 76.913400, 41.260300, -68.750800
519015.749418, 4567678.328278, 77.942300, 41.260300, -68.773000
517164.409086, 4567684.828074, 91.265700, 41.260400, -68.795100
515313.098099, 4567680.697339, 95.677600, 41.260400, -68.817200
513461.766878, 4567688.138992, 98.704200, 41.260500, -68.839300
511610.459281, 4567684.950116, 100.089000, 41.260500, -68.861400
509759.151912, 4567682.232168, 101.985000, 41.260500, -68.883500
507907.844735, 4567679.985148, 107.309000, 41.260500, -68.905600
522721.000230, 4569531.816976, 76.893200, 41.276900, -68.728700
520870.122299, 4569537.372382, 80.699200, 41.277000, -68.750800
